codepoint,field,write
U+3405,kPhonetic,954 1156
U+340C,kPhonetic,1471 1545
U+341F,kPhonetic,365*
U+3421,kPhonetic,1631*
U+3424,kPhonetic,63*
U+3426,kPhonetic,672*
U+3428,kPhonetic,1603*
U+3429,kPhonetic,103*
U+342B,kPhonetic,523*
U+342C,kPhonetic,779
U+3431,kPhonetic,65 1101
U+3433,kPhonetic,963
U+3435,kPhonetic,1602*
U+3437,kPhonetic,863*
U+3438,kPhonetic,467*
U+3442,kPhonetic,1053*
U+3443,kPhonetic,1507*
U+3444,kPhonetic,916
U+3449,kPhonetic,1262*
U+344B,kPhonetic,683*
U+344C,kPhonetic,505*
U+344D,kPhonetic,830*
U+344F,kPhonetic,1142*
U+345B,kPhonetic,309*
U+3464,kPhonetic,908*
U+3465,kPhonetic,1559*
U+3467,kPhonetic,715*
U+3469,kPhonetic,828*
U+346B,kPhonetic,976*
U+3470,kPhonetic,1400*
U+3471,kPhonetic,1509*
U+3475,kPhonetic,73*
U+347F,kPhonetic,51*
U+3481,kPhonetic,1615*
U+3486,kPhonetic,1497*
U+3492,kPhonetic,1589*
U+3494,kPhonetic,1264*
U+3495,kPhonetic,1652*
U+349C,kPhonetic,1616*
U+349E,kPhonetic,312
U+34A0,kPhonetic,415
U+34A7,kPhonetic,786A*
U+34B2,kPhonetic,247
U+34B7,kPhonetic,475
U+34B8,kPhonetic,155 1257
U+34B9,kPhonetic,63*
U+34BC,kPhonetic,928
U+34BD,kPhonetic,665*
U+34BF,kPhonetic,786A*
U+34C1,kPhonetic,925
U+34CA,kPhonetic,1407*
U+34CC,kPhonetic,282*
U+34D0,kPhonetic,850*
U+34D4,kPhonetic,1155*
U+34D8,kPhonetic,1262*
U+34D9,kPhonetic,985
U+34DA,kPhonetic,684*
U+34DE,kPhonetic,539
U+34DF,kPhonetic,1038
U+34E2,kPhonetic,646*
U+34E6,kPhonetic,1002*
U+34E8,kPhonetic,550*
U+34ED,kPhonetic,510*
U+34F1,kPhonetic,1611*
U+34F2,kPhonetic,1042*
U+34F4,kPhonetic,1631*
U+34F7,kPhonetic,980*
U+34FD,kPhonetic,1277*
U+3501,kPhonetic,1315*
U+3502,kPhonetic,852*
U+3519,kPhonetic,1055*
U+351D,kPhonetic,799*
U+3520,kPhonetic,510*
U+3522,kPhonetic,284
U+3523,kPhonetic,841*
U+3527,kPhonetic,820A*
U+3528,kPhonetic,1082*
U+3529,kPhonetic,508*
U+352A,kPhonetic,822*
U+352E,kPhonetic,546* 943*
U+3530,kPhonetic,970*
U+3531,kPhonetic,1609*
U+3537,kPhonetic,1053*
U+353C,kPhonetic,1393*
U+353E,kPhonetic,208 345
U+3542,kPhonetic,565*
U+3545,kPhonetic,551*
U+354A,kPhonetic,386*
U+354E,kPhonetic,508*
U+3551,kPhonetic,266
U+3553,kPhonetic,195*
U+3554,kPhonetic,1343
U+3559,kPhonetic,313
U+355A,kPhonetic,49
U+355C,kPhonetic,1177
U+355E,kPhonetic,47
U+3561,kPhonetic,492 648 681
U+3562,kPhonetic,414 492
U+3563,kPhonetic,1630
U+3565,kPhonetic,1489 1551
U+356B,kPhonetic,373*
U+356C,kPhonetic,687*
U+356D,kPhonetic,1594
U+3571,kPhonetic,1511*
U+3576,kPhonetic,949*
U+3582,kPhonetic,1472*
U+3583,kPhonetic,449*
U+3585,kPhonetic,1279*
U+3586,kPhonetic,683*
